<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBRF;1;20260804;070000;28672;28710;28635;28704;622
SBRF;1;20260804;070100;28703;28711;28700;28711;228
SBRF;1;20260804;070200;28711;28711;28701;28709;172
SBRF;1;20260804;070300;28709;28751;28709;28751;430
SBRF;1;20260804;070400;28750;28800;28750;28793;716
SBRF;1;20260804;070500;28794;28801;28753;28760;337
SBRF;1;20260804;070600;28761;28765;28761;28764;31
SBRF;1;20260804;070700;28764;28768;28750;28757;234
SBRF;1;20260804;070800;28757;28781;28757;28777;97
SBRF;1;20260804;070900;28777;28787;28757;28757;112
SBRF;1;20260804;071000;28764;28770;28760;28760;32
SBRF;1;20260804;071100;28760;28765;28760;28760;120
SBRF;1;20260804;071200;28760;28760;28718;28718;152
SBRF;1;20260804;071300;28724;28726;28715;28726;124
SBRF;1;20260804;071400;28726;28749;28723;28749;221
SBRF;1;20260804;071500;28749;28766;28748;28766;79
SBRF;1;20260804;071600;28770;28778;28770;28778;130
SBRF;1;20260804;071700;28778;28785;28778;28783;89
SBRF;1;20260804;071800;28784;28785;28784;28784;18
SBRF;1;20260804;071900;28785;28789;28784;28785;66
SBRF;1;20260804;072000;28785;28808;28784;28800;707
SBRF;1;20260804;072100;28801;28801;28792;28798;63
SBRF;1;20260804;072200;28794;28797;28793;28796;153
SBRF;1;20260804;072300;28800;28800;28796;28800;36
SBRF;1;20260804;072400;28795;28795;28793;28793;35
SBRF;1;20260804;072500;28793;28805;28793;28805;85
SBRF;1;20260804;072600;28804;28847;28804;28847;498
SBRF;1;20260804;072700;28848;28855;28840;28854;246
SBRF;1;20260804;072800;28855;28859;28830;28832;372
SBRF;1;20260804;072900;28832;28846;28827;28840;220
SBRF;1;20260804;073000;28840;28845;28840;28841;274
SBRF;1;20260804;073100;28840;28845;28832;28845;134
SBRF;1;20260804;073200;28845;28860;28842;28854;107
SBRF;1;20260804;073300;28857;28865;28848;28848;86
SBRF;1;20260804;073400;28837;28837;28828;28828;87
SBRF;1;20260804;073500;28828;28828;28827;28828;107
SBRF;1;20260804;073600;28828;28849;28828;28845;163
SBRF;1;20260804;073700;28845;28847;28830;28830;151
SBRF;1;20260804;073800;28827;28847;28827;28833;65
SBRF;1;20260804;073900;28833;28841;28833;28841;37
SBRF;1;20260804;074000;28841;28841;28838;28838;57
SBRF;1;20260804;074100;28839;28850;28839;28849;27
SBRF;1;20260804;074200;28849;28850;28849;28849;49
SBRF;1;20260804;074300;28849;28870;28849;28869;121
SBRF;1;20260804;074400;28859;28872;28857;28869;111
SBRF;1;20260804;074500;28870;28877;28863;28864;276
SBRF;1;20260804;074600;28863;28870;28859;28870;110
SBRF;1;20260804;074700;28862;28876;28861;28868;40
SBRF;1;20260804;074800;28873;28884;28868;28875;164
SBRF;1;20260804;074900;28875;28888;28875;28880;154
SBRF;1;20260804;075000;28880;28890;28880;28890;164
SBRF;1;20260804;075100;28891;28900;28891;28899;77
SBRF;1;20260804;075200;28900;28900;28890;28890;220
SBRF;1;20260804;075300;28890;28890;28880;28888;127
SBRF;1;20260804;075400;28885;28900;28884;28900;206
SBRF;1;20260804;075500;28900;28925;28888;28918;275
SBRF;1;20260804;075600;28912;28912;28897;28898;95
SBRF;1;20260804;075700;28898;28898;28859;28859;445
SBRF;1;20260804;075800;28859;28862;28793;28800;1603
SBRF;1;20260804;075900;28801;28853;28797;28842;266
SBRF;1;20260804;080000;28833;28833;28757;28817;972
SBRF;1;20260804;080100;28818;28821;28815;28818;25
SBRF;1;20260804;080200;28817;28817;28816;28816;21
SBRF;1;20260804;080300;28817;28831;28817;28831;72
SBRF;1;20260804;080400;28831;28854;28831;28837;125
SBRF;1;20260804;080500;28835;28848;28832;28837;56
SBRF;1;20260804;080600;28837;28837;28815;28823;212
SBRF;1;20260804;080700;28813;28813;28796;28796;87
SBRF;1;20260804;080800;28797;28797;28775;28780;196
SBRF;1;20260804;080900;28782;28783;28764;28764;81
SBRF;1;20260804;081000;28762;28766;28761;28761;175
SBRF;1;20260804;081100;28772;28796;28772;28796;41
SBRF;1;20260804;081200;28796;28800;28768;28775;176
SBRF;1;20260804;081300;28777;28798;28777;28784;46
SBRF;1;20260804;081400;28784;28805;28782;28797;403
SBRF;1;20260804;081500;28788;28802;28785;28795;26
SBRF;1;20260804;081600;28801;28801;28782;28782;71
SBRF;1;20260804;081700;28782;28782;28775;28775;38
SBRF;1;20260804;081800;28775;28794;28775;28783;246
SBRF;1;20260804;081900;28784;28796;28781;28787;32
SBRF;1;20260804;082000;28796;28796;28786;28786;25
SBRF;1;20260804;082100;28786;28786;28777;28777;35
SBRF;1;20260804;082200;28777;28777;28775;28775;181
SBRF;1;20260804;082300;28775;28796;28775;28784;519
SBRF;1;20260804;082400;28784;28788;28754;28763;580
SBRF;1;20260804;082500;28766;28768;28760;28765;120
SBRF;1;20260804;082600;28761;28762;28750;28750;115
SBRF;1;20260804;082700;28750;28763;28740;28763;328
SBRF;1;20260804;082800;28762;28762;28732;28732;184
SBRF;1;20260804;082900;28731;28731;28720;28721;70
SBRF;1;20260804;083000;28724;28744;28720;28743;184
SBRF;1;20260804;083100;28731;28732;28721;28730;208
SBRF;1;20260804;083200;28726;28730;28726;28726;127
SBRF;1;20260804;083300;28726;28726;28712;28712;177
SBRF;1;20260804;083400;28712;28712;28682;28695;379
SBRF;1;20260804;083500;28698;28698;28650;28675;1035
SBRF;1;20260804;083600;28676;28685;28664;28685;51
SBRF;1;20260804;083700;28685;28685;28683;28685;94
SBRF;1;20260804;083800;28686;28716;28686;28713;417
SBRF;1;20260804;083900;28714;28715;28707;28709;17
SBRF;1;20260804;084000;28702;28702;28700;28700;12
SBRF;1;20260804;084100;28702;28702;28698;28698;12
SBRF;1;20260804;084200;28700;28710;28700;28707;18
SBRF;1;20260804;084300;28705;28707;28686;28686;124
SBRF;1;20260804;084400;28685;28698;28684;28698;44
SBRF;1;20260804;084500;28698;28703;28684;28693;60
SBRF;1;20260804;084600;28690;28693;28689;28689;32
SBRF;1;20260804;084700;28687;28687;28682;28682;23
SBRF;1;20260804;084800;28682;28682;28677;28682;34
SBRF;1;20260804;084900;28677;28681;28659;28662;154
SBRF;1;20260804;085000;28662;28662;28646;28646;234
SBRF;1;20260804;085100;28646;28667;28640;28659;191
SBRF;1;20260804;085200;28663;28680;28662;28674;97
SBRF;1;20260804;085300;28675;28704;28675;28696;239
SBRF;1;20260804;085400;28697;28704;28691;28704;257
SBRF;1;20260804;085500;28704;28704;28700;28700;73
SBRF;1;20260804;085600;28700;28700;28687;28687;49
SBRF;1;20260804;085700;28687;28696;28680;28680;84
SBRF;1;20260804;085800;28680;28685;28676;28676;36
SBRF;1;20260804;085900;28682;28684;28672;28678;81
SBRF;1;20260804;090000;28677;28677;28665;28674;129
SBRF;1;20260804;090100;28675;28681;28668;28674;48
SBRF;1;20260804;090200;28674;28694;28674;28694;135
SBRF;1;20260804;090300;28695;28703;28695;28703;232
SBRF;1;20260804;090400;28704;28704;28703;28704;99
SBRF;1;20260804;090500;28703;28704;28688;28688;36
SBRF;1;20260804;090600;28686;28697;28686;28696;115
SBRF;1;20260804;090700;28687;28695;28687;28695;37
SBRF;1;20260804;090800;28699;28704;28699;28703;76
SBRF;1;20260804;090900;28704;28709;28704;28709;144
SBRF;1;20260804;091000;28711;28716;28711;28716;46
SBRF;1;20260804;091100;28717;28717;28716;28717;59
SBRF;1;20260804;091200;28717;28719;28715;28715;132
SBRF;1;20260804;091300;28715;28720;28715;28720;93
SBRF;1;20260804;091400;28720;28760;28720;28758;437
SBRF;1;20260804;091500;28759;28785;28759;28767;645
SBRF;1;20260804;091600;28768;28774;28748;28749;690
SBRF;1;20260804;091700;28748;28749;28736;28746;192
SBRF;1;20260804;091800;28746;28746;28744;28744;36
SBRF;1;20260804;091900;28745;28758;28744;28758;82
SBRF;1;20260804;092000;28748;28749;28746;28749;38
SBRF;1;20260804;092100;28749;28756;28749;28756;35
SBRF;1;20260804;092200;28756;28759;28753;28756;140
