<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBRF;1;20260804;092300;28751;28753;28748;28749;35
SBRF;1;20260804;092400;28750;28756;28750;28756;35
SBRF;1;20260804;092500;28752;28752;28752;28752;1
SBRF;1;20260804;092600;28754;28757;28754;28757;22
SBRF;1;20260804;092700;28757;28757;28743;28746;123
SBRF;1;20260804;092800;28746;28751;28746;28751;27
SBRF;1;20260804;092900;28754;28757;28752;28757;43
SBRF;1;20260804;093000;28758;28760;28754;28754;121
SBRF;1;20260804;093100;28753;28753;28737;28737;124
SBRF;1;20260804;093200;28737;28737;28700;28722;1130
SBRF;1;20260804;093300;28718;28722;28718;28722;48
SBRF;1;20260804;093400;28722;28722;28721;28721;16
SBRF;1;20260804;093500;28721;28721;28719;28720;131
SBRF;1;20260804;093600;28720;28720;28718;28718;40
SBRF;1;20260804;093700;28718;28718;28714;28714;224
SBRF;1;20260804;093800;28710;28710;28697;28697;263
SBRF;1;20260804;093900;28691;28696;28687;28696;241
SBRF;1;20260804;094000;28695;28706;28693;28697;187
SBRF;1;20260804;094100;28702;28705;28702;28705;20
SBRF;1;20260804;094200;28704;28707;28701;28703;103
SBRF;1;20260804;094300;28708;28740;28708;28735;155
SBRF;1;20260804;094400;28734;28757;28734;28754;92
SBRF;1;20260804;094500;28755;28756;28746;28746;37
SBRF;1;20260804;094600;28746;28746;28731;28736;392
SBRF;1;20260804;094700;28735;28749;28735;28745;272
SBRF;1;20260804;094800;28740;28755;28736;28752;179
SBRF;1;20260804;094900;28754;28756;28743;28747;186
SBRF;1;20260804;095000;28750;28756;28736;28736;251
SBRF;1;20260804;095100;28742;28754;28742;28754;18
SBRF;1;20260804;095200;28756;28757;28755;28755;43
SBRF;1;20260804;095300;28755;28755;28740;28746;50
SBRF;1;20260804;095400;28757;28760;28757;28759;138
SBRF;1;20260804;095500;28759;28760;28748;28757;56
SBRF;1;20260804;095600;28757;28758;28729;28733;121
SBRF;1;20260804;095700;28734;28752;28734;28752;71
SBRF;1;20260804;095800;28760;28780;28760;28780;266
SBRF;1;20260804;095900;28780;28786;28763;28766;147
SBRF;1;20260804;100000;28763;28776;28757;28772;159
SBRF;1;20260804;100100;28774;28785;28759;28759;116
SBRF;1;20260804;100200;28758;28771;28738;28738;153
SBRF;1;20260804;100300;28738;28744;28722;28742;276
SBRF;1;20260804;100400;28732;28732;28708;28708;212
SBRF;1;20260804;100500;28707;28709;28689;28693;219
SBRF;1;20260804;100600;28696;28715;28677;28715;567
SBRF;1;20260804;100700;28717;28725;28700;28711;208
SBRF;1;20260804;100800;28711;28737;28711;28736;170
SBRF;1;20260804;100900;28736;28737;28716;28717;385
SBRF;1;20260804;101000;28716;28717;28700;28701;241
SBRF;1;20260804;101100;28701;28701;28673;28682;262
SBRF;1;20260804;101200;28683;28683;28657;28657;180
SBRF;1;20260804;101300;28658;28679;28656;28675;148
SBRF;1;20260804;101400;28676;28685;28675;28683;206
SBRF;1;20260804;101500;28680;28684;28675;28675;95
SBRF;1;20260804;101600;28669;28681;28657;28669;351
SBRF;1;20260804;101700;28667;28669;28656;28656;135
SBRF;1;20260804;101800;28656;28669;28650;28650;327
SBRF;1;20260804;101900;28650;28652;28629;28630;638
SBRF;1;20260804;102000;28629;28654;28617;28654;495
SBRF;1;20260804;102100;28654;28662;28652;28659;205
SBRF;1;20260804;102200;28657;28669;28651;28663;486
SBRF;1;20260804;102300;28666;28686;28663;28686;257
SBRF;1;20260804;102400;28686;28688;28671;28674;366
SBRF;1;20260804;102500;28673;28676;28670;28674;93
SBRF;1;20260804;102600;28676;28676;28671;28671;46
SBRF;1;20260804;102700;28674;28693;28669;28690;537
SBRF;1;20260804;102800;28690;28693;28684;28693;184
SBRF;1;20260804;102900;28693;28708;28690;28708;212
SBRF;1;20260804;103000;28708;28723;28698;28721;408
SBRF;1;20260804;103100;28721;28735;28720;28735;118
SBRF;1;20260804;103200;28735;28760;28735;28760;331
SBRF;1;20260804;103300;28760;28770;28742;28746;450
SBRF;1;20260804;103400;28746;28752;28734;28751;55
SBRF;1;20260804;103500;28751;28751;28743;28746;40
SBRF;1;20260804;103600;28749;28760;28749;28759;118
SBRF;1;20260804;103700;28760;28760;28747;28755;158
SBRF;1;20260804;103800;28756;28762;28756;28756;71
SBRF;1;20260804;103900;28761;28762;28756;28756;16
SBRF;1;20260804;104000;28757;28762;28756;28761;24
SBRF;1;20260804;104100;28762;28773;28762;28773;69
SBRF;1;20260804;104200;28775;28800;28775;28799;429
SBRF;1;20260804;104300;28800;28800;28791;28794;204
SBRF;1;20260804;104400;28792;28810;28792;28800;163
SBRF;1;20260804;104500;28802;28819;28802;28819;117
SBRF;1;20260804;104600;28819;28825;28803;28814;196
SBRF;1;20260804;104700;28808;28813;28805;28806;82
SBRF;1;20260804;104800;28806;28806;28800;28800;1007
SBRF;1;20260804;104900;28800;28801;28765;28775;383
SBRF;1;20260804;105000;28773;28773;28755;28762;199
SBRF;1;20260804;105100;28760;28760;28752;28756;89
SBRF;1;20260804;105200;28757;28765;28757;28760;30
SBRF;1;20260804;105300;28760;28766;28755;28764;89
SBRF;1;20260804;105400;28765;28766;28758;28759;105
SBRF;1;20260804;105500;28759;28770;28759;28770;237
SBRF;1;20260804;105600;28775;28786;28775;28784;59
SBRF;1;20260804;105700;28787;28809;28787;28797;244
SBRF;1;20260804;105800;28800;28804;28793;28801;109
SBRF;1;20260804;105900;28799;28799;28787;28791;93
SBRF;1;20260804;110000;28793;28797;28790;28795;36
SBRF;1;20260804;110100;28795;28795;28771;28785;139
SBRF;1;20260804;110200;28788;28788;28776;28776;35
SBRF;1;20260804;110300;28772;28773;28769;28771;32
SBRF;1;20260804;110400;28771;28771;28740;28742;378
SBRF;1;20260804;110500;28740;28741;28730;28734;226
SBRF;1;20260804;110600;28736;28736;28731;28731;19
SBRF;1;20260804;110700;28731;28745;28730;28735;215
SBRF;1;20260804;110800;28732;28735;28729;28729;18
SBRF;1;20260804;110900;28727;28727;28701;28715;165
SBRF;1;20260804;111000;28713;28713;28706;28707;33
SBRF;1;20260804;111100;28708;28717;28706;28717;18
SBRF;1;20260804;111200;28720;28722;28712;28718;183
SBRF;1;20260804;111300;28712;28717;28705;28717;206
SBRF;1;20260804;111400;28716;28716;28697;28707;551
SBRF;1;20260804;111500;28708;28730;28701;28730;246
SBRF;1;20260804;111600;28730;28765;28730;28762;326
SBRF;1;20260804;111700;28758;28771;28757;28762;89
SBRF;1;20260804;111800;28764;28781;28758;28760;263
SBRF;1;20260804;111900;28765;28765;28755;28755;25
SBRF;1;20260804;112000;28753;28753;28741;28750;68
SBRF;1;20260804;112100;28760;28769;28760;28769;36
SBRF;1;20260804;112200;28769;28772;28767;28772;20
SBRF;1;20260804;112300;28775;28779;28775;28777;71
SBRF;1;20260804;112400;28775;28782;28770;28775;43
SBRF;1;20260804;112500;28767;28777;28767;28772;23
SBRF;1;20260804;112600;28777;28777;28776;28776;15
SBRF;1;20260804;112700;28775;28779;28769;28775;83
SBRF;1;20260804;112800;28776;28790;28776;28790;73
SBRF;1;20260804;112900;28790;28800;28790;28794;63
SBRF;1;20260804;113000;28792;28794;28792;28794;6
SBRF;1;20260804;113100;28793;28818;28792;28816;381
SBRF;1;20260804;113200;28813;28870;28807;28856;1704
SBRF;1;20260804;113300;28858;28867;28795;28825;865
SBRF;1;20260804;113400;28832;28840;28814;28826;378
SBRF;1;20260804;113500;28826;28826;28804;28808;221
SBRF;1;20260804;113600;28806;28854;28798;28853;1027
SBRF;1;20260804;113700;28854;28894;28851;28887;1960
SBRF;1;20260804;113800;28888;28900;28886;28900;961
SBRF;1;20260804;113900;28897;28915;28885;28885;1195
SBRF;1;20260804;114000;28885;28916;28885;28900;2520
SBRF;1;20260804;114100;28900;28901;28889;28891;248
SBRF;1;20260804;114200;28887;28887;28882;28885;114
SBRF;1;20260804;114300;28886;28901;28886;28900;275
SBRF;1;20260804;114400;28899;28900;28897;28898;174
SBRF;1;20260804;114500;28899;28900;28895;28896;103
SBRF;1;20260804;114600;28894;28901;28886;28901;202
SBRF;1;20260804;114700;28889;28898;28885;28886;55
SBRF;1;20260804;114800;28888;28894;28888;28894;38
SBRF;1;20260804;114900;28893;28894;28885;28886;93
SBRF;1;20260804;115000;28885;28885;28882;28883;301
SBRF;1;20260804;115100;28882;28882;28868;28870;369
SBRF;1;20260804;115200;28870;28870;28856;28870;117
SBRF;1;20260804;115300;28862;28869;28862;28866;19
SBRF;1;20260804;115400;28861;28900;28860;28896;429
SBRF;1;20260804;115500;28891;28919;28891;28913;730
SBRF;1;20260804;115600;28912;28960;28908;28954;1564
SBRF;1;20260804;115700;28954;28961;28943;28960;470
SBRF;1;20260804;115800;28959;28960;28956;28956;307
SBRF;1;20260804;115900;28956;28957;28950;28950;399
SBRF;1;20260804;120000;28951;28958;28950;28958;832
SBRF;1;20260804;120100;28958;28958;28954;28954;219
SBRF;1;20260804;120200;28955;28963;28954;28962;881
SBRF;1;20260804;120300;28963;29000;28963;28989;1249
SBRF;1;20260804;120400;28989;28990;28964;28973;411
SBRF;1;20260804;120500;28974;28996;28964;28987;331
SBRF;1;20260804;120600;28988;28988;28974;28976;732
SBRF;1;20260804;120700;28975;28987;28970;28986;215
SBRF;1;20260804;120800;28986;28999;28977;28996;330
SBRF;1;20260804;120900;28997;29000;28987;29000;480
SBRF;1;20260804;121000;29000;29014;29000;29014;654
SBRF;1;20260804;121100;29011;29011;28982;28984;496
SBRF;1;20260804;121200;28976;29009;28976;29009;140
SBRF;1;20260804;121300;29009;29010;28999;29002;44
SBRF;1;20260804;121400;29004;29004;28974;28974;428
SBRF;1;20260804;121500;28975;28976;28955;28956;177
SBRF;1;20260804;121600;28960;28976;28955;28966;773
SBRF;1;20260804;121700;28965;28970;28965;28967;62
SBRF;1;20260804;121800;28961;28964;28960;28960;26
SBRF;1;20260804;121900;28960;28960;28944;28946;224
SBRF;1;20260804;122000;28946;28949;28936;28949;287
SBRF;1;20260804;122100;28948;28949;28935;28940;260
SBRF;1;20260804;122200;28938;28939;28938;28939;13
SBRF;1;20260804;122300;28938;28941;28934;28941;192
SBRF;1;20260804;122400;28941;28941;28936;28941;45
SBRF;1;20260804;122500;28939;28949;28938;28945;586
SBRF;1;20260804;122600;28945;28952;28945;28952;23
SBRF;1;20260804;122700;28952;28955;28935;28937;118
SBRF;1;20260804;122800;28936;28936;28920;28924;475
SBRF;1;20260804;122900;28922;28923;28913;28918;491
SBRF;1;20260804;123000;28922;28922;28910;28916;1114
SBRF;1;20260804;123100;28909;28909;28882;28897;653
SBRF;1;20260804;123200;28899;28911;28899;28909;313
SBRF;1;20260804;123300;28904;28918;28901;28918;164
SBRF;1;20260804;123400;28919;28919;28908;28909;116
SBRF;1;20260804;123500;28912;28918;28911;28918;41
SBRF;1;20260804;123600;28919;28920;28917;28920;65
SBRF;1;20260804;123700;28919;28923;28919;28920;59
SBRF;1;20260804;123800;28919;28946;28919;28945;253
SBRF;1;20260804;123900;28946;28947;28920;28920;73
SBRF;1;20260804;124000;28925;28926;28907;28908;241
SBRF;1;20260804;124100;28907;28913;28907;28913;56
SBRF;1;20260804;124200;28911;28934;28910;28934;135
SBRF;1;20260804;124300;28935;28957;28935;28957;219
SBRF;1;20260804;124400;28958;28958;28929;28941;45
SBRF;1;20260804;124500;28941;28945;28921;28945;163
SBRF;1;20260804;124600;28945;28956;28937;28937;140
SBRF;1;20260804;124700;28946;28948;28939;28944;10
SBRF;1;20260804;124800;28949;28950;28945;28950;17
SBRF;1;20260804;124900;28949;28949;28938;28938;43
SBRF;1;20260804;125000;28940;28944;28940;28940;12
SBRF;1;20260804;125100;28940;28940;28937;28939;13
SBRF;1;20260804;125200;28940;28942;28933;28942;34
SBRF;1;20260804;125300;28939;28950;28939;28950;32
SBRF;1;20260804;125400;28950;28967;28950;28965;243
SBRF;1;20260804;125500;28968;28974;28953;28957;103
SBRF;1;20260804;125600;28956;28962;28943;28945;54
SBRF;1;20260804;125700;28948;28948;28942;28944;64
SBRF;1;20260804;125800;28944;28949;28944;28947;61
SBRF;1;20260804;125900;28943;28946;28943;28945;95
SBRF;1;20260804;130000;28945;28946;28931;28935;337
SBRF;1;20260804;130100;28937;28937;28932;28932;4
SBRF;1;20260804;130200;28931;28931;28909;28919;660
SBRF;1;20260804;130300;28918;28945;28918;28945;171
SBRF;1;20260804;130400;28950;28962;28950;28951;172
SBRF;1;20260804;130500;28957;28957;28914;28918;267
SBRF;1;20260804;130600;28918;28920;28914;28914;358
SBRF;1;20260804;130700;28914;28938;28914;28934;309
SBRF;1;20260804;130800;28933;28951;28933;28951;72
SBRF;1;20260804;130900;28936;28936;28925;28927;97
SBRF;1;20260804;131000;28925;28945;28925;28945;57
SBRF;1;20260804;131100;28945;28945;28924;28938;316
SBRF;1;20260804;131200;28937;28941;28927;28939;341
SBRF;1;20260804;131300;28943;28952;28943;28952;49
SBRF;1;20260804;131400;28953;28955;28953;28955;113
SBRF;1;20260804;131500;28955;28967;28955;28967;110
SBRF;1;20260804;131600;28966;28967;28940;28940;118
SBRF;1;20260804;131700;28940;28959;28940;28954;30
SBRF;1;20260804;131800;28950;28960;28950;28960;84
SBRF;1;20260804;131900;28959;28976;28959;28976;204
SBRF;1;20260804;132000;28976;28988;28976;28988;137
SBRF;1;20260804;132100;28988;28991;28987;28987;51
SBRF;1;20260804;132200;28992;28997;28992;28993;60
SBRF;1;20260804;132300;28990;28995;28982;28982;200
SBRF;1;20260804;132400;28982;28993;28982;28984;49
SBRF;1;20260804;132500;28981;28991;28971;28971;108
SBRF;1;20260804;132600;28981;28982;28981;28982;17
SBRF;1;20260804;132700;28982;28982;28976;28976;51
SBRF;1;20260804;132800;28967;28969;28958;28964;83
SBRF;1;20260804;132900;28962;28967;28952;28952;74
SBRF;1;20260804;133000;28952;28953;28925;28926;307
SBRF;1;20260804;133100;28925;28933;28920;28920;110
SBRF;1;20260804;133200;28920;28921;28902;28902;1248
SBRF;1;20260804;133300;28902;28928;28900;28903;294
SBRF;1;20260804;133400;28903;28921;28902;28921;142
SBRF;1;20260804;133500;28919;28919;28901;28910;107
SBRF;1;20260804;133600;28910;28915;28910;28913;15
SBRF;1;20260804;133700;28913;28913;28905;28913;41
SBRF;1;20260804;133800;28910;28913;28897;28904;294
SBRF;1;20260804;133900;28897;28897;28874;28876;400
SBRF;1;20260804;134000;28876;28896;28870;28896;336
SBRF;1;20260804;134100;28894;28894;28875;28875;50
SBRF;1;20260804;134200;28875;28889;28870;28889;179
SBRF;1;20260804;134300;28889;28898;28875;28883;308
SBRF;1;20260804;134400;28882;28930;28871;28898;2077
SBRF;1;20260804;134500;28896;28904;28886;28899;471
SBRF;1;20260804;134600;28900;28903;28879;28895;540
SBRF;1;20260804;134700;28894;28894;28873;28876;100
SBRF;1;20260804;134800;28874;28885;28860;28862;666
SBRF;1;20260804;134900;28860;28870;28860;28870;294
SBRF;1;20260804;135000;28869;28870;28866;28869;97
SBRF;1;20260804;135100;28870;28885;28870;28885;189
SBRF;1;20260804;135200;28885;28931;28885;28914;394
SBRF;1;20260804;135300;28911;28912;28908;28909;51
SBRF;1;20260804;135400;28905;28906;28896;28898;578
SBRF;1;20260804;135500;28897;28906;28896;28906;133
SBRF;1;20260804;135600;28906;28909;28906;28909;103
SBRF;1;20260804;135700;28908;28923;28908;28920;75
SBRF;1;20260804;135800;28920;28950;28920;28939;324
SBRF;1;20260804;135900;28939;28947;28934;28941;185
SBRF;1;20260804;140000;28944;28944;28935;28937;89
SBRF;1;20260804;140100;28938;28940;28932;28932;61
SBRF;1;20260804;140200;28927;28930;28920;28929;53
SBRF;1;20260804;140300;28915;28915;28912;28912;27
SBRF;1;20260804;140400;28911;28921;28911;28918;49
SBRF;1;20260804;140500;28919;28931;28915;28921;91
SBRF;1;20260804;140600;28922;28922;28903;28903;23
SBRF;1;20260804;140700;28905;28914;28905;28911;43
SBRF;1;20260804;140800;28912;28937;28912;28924;179
SBRF;1;20260804;140900;28911;28912;28909;28912;6
SBRF;1;20260804;141000;28910;28910;28892;28895;222
SBRF;1;20260804;141100;28898;28937;28898;28933;245
SBRF;1;20260804;141200;28936;28942;28913;28914;88
SBRF;1;20260804;141300;28919;28942;28916;28920;137
SBRF;1;20260804;141400;28920;28948;28920;28947;256
SBRF;1;20260804;141500;28947;28948;28943;28947;109
SBRF;1;20260804;141600;28947;28947;28943;28943;50
SBRF;1;20260804;141700;28939;28939;28921;28921;21
SBRF;1;20260804;141800;28927;28946;28927;28944;100
SBRF;1;20260804;141900;28944;28944;28937;28938;130
SBRF;1;20260804;142000;28938;28938;28933;28934;105
SBRF;1;20260804;142100;28933;28935;28930;28934;86
SBRF;1;20260804;142200;28930;28933;28914;28914;712
SBRF;1;20260804;142300;28910;28940;28910;28926;436
SBRF;1;20260804;142400;28926;28937;28926;28934;79
SBRF;1;20260804;142500;28932;28934;28932;28934;33
SBRF;1;20260804;142700;28933;28935;28933;28934;39
SBRF;1;20260804;142800;28935;28935;28934;28934;16
SBRF;1;20260804;142900;28929;28934;28917;28920;38
SBRF;1;20260804;143000;28915;28917;28906;28915;212
SBRF;1;20260804;143100;28908;28918;28907;28918;28
SBRF;1;20260804;143200;28917;28924;28917;28924;5
SBRF;1;20260804;143300;28924;28938;28924;28938;70
SBRF;1;20260804;143400;28938;28938;28936;28937;33
SBRF;1;20260804;143500;28935;28938;28934;28938;80
SBRF;1;20260804;143600;28937;28938;28934;28938;43
SBRF;1;20260804;143700;28938;28938;28937;28938;10
SBRF;1;20260804;143800;28940;28940;28927;28931;43
SBRF;1;20260804;143900;28930;28940;28927;28940;117
SBRF;1;20260804;144000;28939;28939;28931;28937;63
SBRF;1;20260804;144100;28937;28938;28935;28935;119
SBRF;1;20260804;144200;28938;28948;28938;28947;174
SBRF;1;20260804;144300;28942;28944;28930;28937;159
SBRF;1;20260804;144400;28935;28936;28934;28936;36
SBRF;1;20260804;144500;28932;28933;28919;28919;44
SBRF;1;20260804;144600;28921;28921;28909;28915;64
SBRF;1;20260804;144700;28912;28916;28908;28911;84
SBRF;1;20260804;144800;28910;28911;28891;28895;314
SBRF;1;20260804;144900;28892;28892;28879;28887;159
SBRF;1;20260804;145000;28888;28889;28880;28880;105
SBRF;1;20260804;145100;28878;28883;28869;28869;347
SBRF;1;20260804;145200;28869;28894;28866;28893;94
SBRF;1;20260804;145300;28887;28887;28865;28875;81
SBRF;1;20260804;145400;28865;28870;28845;28850;747
SBRF;1;20260804;145500;28849;28851;28806;28806;1261
SBRF;1;20260804;145600;28805;28818;28785;28801;706
SBRF;1;20260804;145700;28806;28826;28800;28800;167
SBRF;1;20260804;145800;28801;28821;28799;28821;39
SBRF;1;20260804;145900;28817;28818;28801;28801;145
SBRF;1;20260804;150000;28803;28803;28775;28796;2052
SBRF;1;20260804;150100;28802;28820;28793;28793;386
SBRF;1;20260804;150200;28793;28793;28765;28766;1518
SBRF;1;20260804;150300;28769;28777;28754;28760;694
SBRF;1;20260804;150400;28757;28788;28748;28787;1920
SBRF;1;20260804;150500;28787;28787;28769;28770;395
SBRF;1;20260804;150600;28768;28823;28768;28816;803
SBRF;1;20260804;150700;28816;28846;28816;28841;464
SBRF;1;20260804;150800;28841;28842;28809;28815;194
SBRF;1;20260804;150900;28820;28829;28820;28827;108
SBRF;1;20260804;151000;28829;28829;28822;28822;35
SBRF;1;20260804;151100;28826;28834;28826;28829;133
SBRF;1;20260804;151200;28830;28860;28830;28860;246
SBRF;1;20260804;151300;28860;28892;28860;28862;1163
SBRF;1;20260804;151400;28860;28870;28858;28870;156
SBRF;1;20260804;151500;28866;28870;28841;28863;297
