<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBRF;1;20260505;110000;32609;32610;32594;32597;745
SBRF;1;20260505;110100;32597;32599;32596;32598;90
SBRF;1;20260505;110200;32598;32616;32598;32614;608
SBRF;1;20260505;110300;32614;32619;32606;32606;165
SBRF;1;20260505;110400;32604;32605;32597;32597;44
SBRF;1;20260505;110500;32599;32606;32599;32606;122
SBRF;1;20260505;110600;32606;32618;32596;32614;424
SBRF;1;20260505;110700;32615;32616;32572;32572;456
SBRF;1;20260505;110800;32572;32572;32509;32525;1746
SBRF;1;20260505;110900;32525;32529;32505;32507;1008
SBRF;1;20260505;111000;32507;32523;32505;32523;1007
SBRF;1;20260505;111100;32523;32534;32523;32534;787
SBRF;1;20260505;111200;32539;32547;32536;32547;616
SBRF;1;20260505;111300;32546;32553;32541;32541;154
SBRF;1;20260505;111400;32542;32549;32525;32525;110
SBRF;1;20260505;111500;32525;32525;32506;32517;404
SBRF;1;20260505;111600;32517;32518;32500;32500;541
SBRF;1;20260505;111700;32501;32504;32486;32491;315
SBRF;1;20260505;111800;32486;32486;32395;32412;2214
SBRF;1;20260505;111900;32411;32425;32400;32424;528
SBRF;1;20260505;112000;32424;32424;32375;32387;1115
SBRF;1;20260505;112100;32388;32424;32377;32424;678
SBRF;1;20260505;112200;32424;32424;32412;32424;620
SBRF;1;20260505;112300;32424;32424;32421;32424;454
SBRF;1;20260505;112400;32424;32424;32423;32424;464
SBRF;1;20260505;112500;32425;32427;32412;32417;1287
SBRF;1;20260505;112600;32423;32447;32422;32447;1259
SBRF;1;20260505;112700;32449;32453;32424;32424;471
SBRF;1;20260505;112800;32424;32443;32420;32443;294
SBRF;1;20260505;112900;32443;32455;32442;32455;105
SBRF;1;20260505;113000;32455;32456;32407;32423;1468
SBRF;1;20260505;113100;32422;32423;32420;32423;18
SBRF;1;20260505;113200;32423;32426;32419;32426;70
SBRF;1;20260505;113300;32428;32458;32428;32457;358
SBRF;1;20260505;113400;32458;32460;32456;32459;358
SBRF;1;20260505;113500;32460;32464;32418;32447;1250
SBRF;1;20260505;113600;32449;32459;32441;32451;184
SBRF;1;20260505;113700;32446;32452;32446;32446;56
SBRF;1;20260505;113800;32446;32447;32438;32438;137
SBRF;1;20260505;113900;32438;32438;32436;32438;47
SBRF;1;20260505;114000;32438;32438;32415;32425;954
SBRF;1;20260505;114100;32423;32436;32417;32436;198
SBRF;1;20260505;114200;32436;32445;32434;32445;264
SBRF;1;20260505;114300;32448;32453;32445;32447;149
SBRF;1;20260505;114400;32446;32454;32446;32448;174
SBRF;1;20260505;114500;32448;32448;32418;32432;1252
SBRF;1;20260505;114600;32430;32438;32425;32437;187
SBRF;1;20260505;114700;32437;32445;32437;32444;64
SBRF;1;20260505;114800;32442;32447;32441;32444;73
SBRF;1;20260505;114900;32444;32444;32442;32444;29
SBRF;1;20260505;115000;32444;32445;32417;32442;1246
SBRF;1;20260505;115100;32429;32433;32428;32431;58
SBRF;1;20260505;115200;32431;32438;32430;32430;40
SBRF;1;20260505;115300;32437;32437;32432;32435;54
SBRF;1;20260505;115400;32433;32434;32430;32430;30
SBRF;1;20260505;115500;32430;32430;32407;32413;1179
SBRF;1;20260505;115600;32413;32426;32412;32412;201
SBRF;1;20260505;115700;32420;32431;32420;32431;131
SBRF;1;20260505;115800;32437;32444;32437;32444;78
SBRF;1;20260505;115900;32445;32446;32427;32442;318
SBRF;1;20260505;120000;32438;32438;32416;32419;791
SBRF;1;20260505;120100;32420;32428;32415;32421;169
SBRF;1;20260505;120200;32425;32426;32402;32407;296
SBRF;1;20260505;120300;32407;32416;32405;32411;38
SBRF;1;20260505;120400;32410;32438;32410;32438;61
SBRF;1;20260505;120500;32438;32442;32435;32435;146
SBRF;1;20260505;120600;32435;32487;32435;32487;1456
SBRF;1;20260505;120700;32487;32574;32487;32565;978
SBRF;1;20260505;120800;32561;32572;32539;32539;581
SBRF;1;20260505;120900;32539;32548;32538;32548;189
SBRF;1;20260505;121000;32548;32591;32548;32591;1542
SBRF;1;20260505;121100;32591;32591;32584;32585;487
SBRF;1;20260505;121200;32585;32585;32584;32584;89
SBRF;1;20260505;121300;32584;32585;32582;32582;244
SBRF;1;20260505;121400;32582;32583;32580;32581;289
SBRF;1;20260505;121500;32580;32581;32578;32580;262
SBRF;1;20260505;121600;32579;32581;32579;32581;120
SBRF;1;20260505;121700;32580;32580;32578;32578;38
SBRF;1;20260505;121800;32578;32581;32578;32578;39
SBRF;1;20260505;121900;32578;32585;32578;32585;90
SBRF;1;20260505;122000;32585;32586;32582;32582;47
SBRF;1;20260505;122100;32582;32587;32582;32587;102
SBRF;1;20260505;122200;32587;32588;32583;32587;373
SBRF;1;20260505;122300;32588;32590;32586;32590;136
SBRF;1;20260505;122400;32590;32592;32589;32592;59
SBRF;1;20260505;122500;32592;32640;32592;32634;559
SBRF;1;20260505;122600;32634;32671;32634;32665;693
SBRF;1;20260505;122700;32665;32719;32658;32684;1005
SBRF;1;20260505;122800;32685;32693;32671;32672;477
SBRF;1;20260505;122900;32671;32671;32651;32661;440
SBRF;1;20260505;123000;32660;32673;32660;32670;411
SBRF;1;20260505;123100;32673;32723;32673;32705;551
SBRF;1;20260505;123200;32706;32721;32706;32721;243
SBRF;1;20260505;123300;32724;32730;32712;32725;156
SBRF;1;20260505;123400;32724;32724;32693;32702;341
